course number,name,units,schedule,professor
11672,Arch 18 THD,2.0,TTh 10-11AM lec TBA,"GINES, LEONIDO"
11782,Arch 18 THD-1,2.0,TTh 10-11AM lec TBA,"SANTOS, MICHAELA ROSETTE"
11673,Arch 18 THE,2.0,TTh 11AM-12PM lec TBA,"GINES, LEONIDO"
11766,Arch 18 THE-1,2.0,TTh 11AM-12PM lec TBA,"OZAETA, EMILIO JACINTO"
11705,Arch 20 THLN,2.0,Th 4:30-6:30PM lab TBA; T 4:30-6:30PM lec TBA,"ARANETA, MAUREEN ANNE"
11674,Arch 20 WFLNO,2.0,F 4:30-6:30PM lab TBA; W 4:30-6:30PM lec TBA,"GINES, LEONIDO"
11678,Arch 20 WFLNO-1,2.0,F 4:30-6:30PM lab TBA; W 4:30-6:30PM lec TBA,"LAYUSA, MARY CHRISTINE JOSEPHINE"
11686,Arch 20 WFLNO-2,2.0,F 4:30-6:30PM lab TBA; W 4:30-6:30PM lec TBA,"ONG, SIMOUN"
11706,Arch 20 WFYZ,2.0,F 4:30-6:30PM lab TBA; W 4:30-6:30PM lec TBA,"ARANETA, MAUREEN ANNE"
11745,Arch 22 THYZQ,3.0,TTh 4:30-9PM lab TBA,"GOZON, PATRICK ANDREW"
11727,Arch 22 WFYZQ,3.0,WF 4:30-9PM lab TBA,"DE LEON, RUBY TERESA"
11784,Arch 22 WFYZQ-1,3.0,WF 4:30-9PM lab TBA,"SANTOS, MICHAELA ROSETTE"
11788,Arch 22 WFYZQ-2,3.0,WF 4:30-9PM lab TBA,"SICAM, OLIVIA ALMA"
11697,Arch 23 THWX,3.0,Th 1:30-4PM lab TBA; T 1:30-4PM lec TBA,"SANTOS, JOHN RYAN"
11759,Arch 23 THWX-1,3.0,Th 1:30-4PM lab TBA; T 1:30-4PM lec TBA,"MADRID, DOLORES CECILIA"
11783,Arch 23 THWX-2,3.0,Th 1:30-4PM lab TBA; T 1:30-4PM lec TBA,"SANTOS, MICHAELA ROSETTE"
11728,Arch 23 WFWX,3.0,F 1:30-4PM lab TBA; W 1:30-4PM lec TBA,"DE LEON, RUBY TERESA"
11719,Arch 32 THYZQ,3.0,Th 4:30-9PM lab TBA; T 4:30-9PM lec TBA,"CHUA, JOHANNES VINCENT"
11722,Arch 32 THYZQ-1,3.0,Th 4:30-9PM lab TBA; T 4:30-9PM lec TBA,"DE CHAVEZ, KELVIN"
11729,Arch 32 THYZQ-2,3.0,Th 4:30-9PM lab TBA; T 4:30-9PM lec TBA,"DEL CASTILLO, NICOLO PRECIOSO"
11795,Arch 32 THYZQ-3,3.0,Th 4:30-9PM lab TBA; T 4:30-9PM lec TBA,"VARONA, MARIA FAITH"
11655,Arch 33 WFGIJKL,3.0,WF 12-4:30PM lec TBA,"BULAONG, APOLINARIO"
11789,Arch 33 WFGIJKL-1,3.0,WF 12-4:30PM lec TBA,"SICAM, OLIVIA ALMA"
11654,Arch 33 WFYZQ,3.0,WF 5-9:30PM lec TBA,"BELGA, MARIE EDRALINE"
11684,Arch 35 SGIJ,3.0,S 12-3PM lec TBA,"MEONADA, JOSE MARI"
11685,Arch 35 SKLN,3.0,S 3-6PM lec TBA,"MEONADA, JOSE MARI"
11687,Arch 35 THZQ,3.0,S 12-3PM lec TBA,"ONG, SIMOUN"
11718,Arch 55 THD,2.0,TTh 10-11AM lec TBA,"CHUA, JOHANNES VINCENT"
11748,Arch 55 THD-1,2.0,TTh 10-11AM lec TBA,"LECCIONES, AARON JULIUS"
11749,Arch 55 THE,2.0,TTh 11AM-12PM lec TBA,"LECCIONES, AARON JULIUS"
11774,Arch 75 WFD,2.0,WF 10-11AM lec TBA,"SANTOS, MARIA LISA"
11778,Arch 75 WFD-1,2.0,WF 10-11AM lec TBA,"SANTOS, ROMEO"
11775,Arch 75 WFE,2.0,WF 11AM-12PM lec TBA,"SANTOS, MARIA LISA"
11667,Arch 75 WFO,2.0,WF 6-7PM lec TBA,"DUQUE, DUCHESS ALEKSEI"
11668,Arch 75 WFP,2.0,WF 7-8PM lec TBA,"DUQUE, DUCHESS ALEKSEI"
11683,Arch 134 SIJKLN,3.0,S 1-6PM lab TBA,"MANALANG, RINGER"
11656,Arch 134 THWX,3.0,Th 1-3:30PM lab TBA; T 1-3:30PM lec TBA,"BULAONG, APOLINARIO"
11724,Arch 134 THWX-1,3.0,Th 1-3:30PM lab TBA; T 1-3:30PM lec TBA,"DE CHAVEZ, KELVIN"
11711,Arch 142 THYZQ,4.0,Th 4:30-9:30PM lab TBA; T 4:30-9:30PM lec TBA,"BARIA, RICHELLE RHEA"
11790,Arch 142 THYZQ-1,4.0,Th 4:30-9:30PM lab TBA; T 4:30-9:30PM lec TBA,"SILVESTRE, JOSE DANILO"
11776,Arch 142 WFYZQ,4.0,F 4:30-9:30PM lab TBA; W 4:30-9:30PM lec TBA,"SANTOS, MARIA LISA"
11793,Arch 142 WFYZQ-1,4.0,F 4:30-9:30PM lab TBA; W 4:30-9:30PM lec TBA,"TOMELDAN, MICHAEL"
11670,Arch 147 WFCDE,3.0,F 9:30AM-12PM lab TBA; W 9:30AM-12PM lec TBA,"EVANGELISTA, ALEX RAY"
11773,Arch 147 WFCDE-1,3.0,F 9:30AM-12PM lab TBA; W 9:30AM-12PM lec TBA,"SANTOS, FREDERICK"
11701,Arch 149 THX,3.0,TTh 2:30-4PM lec TBA,"ABAYA, ERNESTO"
11723,Arch 162 THU,3.0,TTh 10-11:30AM lec TBA,"DE CHAVEZ, KELVIN"
11698,Arch 162 WFU,3.0,WF 10-11:30AM lec TBA,"SURIA, MICHELE"
11692,Arch 162 WFW,3.0,WF 1-2:30PM lec TBA,"REGALA, MARIA BENITA"
11777,Arch 162 WFW-1,3.0,WF 1-2:30PM lec TBA,"SANTOS, MARIA LISA"
