label,value
EDFD 201,3
EDFD 202,3
EDFD 205,3
EDFD 206,3
EDFD 211,3
EDFD 219,3
EDFD 221,3
EDFD 231,3
EDFD 241,3
EDFD 243,3
EDFD 247,3
EDFD 302,3
EDFD 303,3
EDFD 331,3
EDFD 341,3
EDFD 342,3
EDH 100,3
EDH 101,3
EDH 120,3
EDH 125,3
EDH 140,3
EDH 160,3
EDH 203,3
EDH 207,3
EDL 106,3
EDL 112,3
EDL 113,3
EDL 121,3
EDL 131,3
EDL 141,3
EDL 201,3
EDL 205,3
EDL 231,3
EDL 261,3
EDL 305,3
EDLit 122,3
EDLit 169,3
EDLit 179,3
EDLR 101,3
EDMA 101,3
EDNFE 222,3
EDR 151,3
EDR 201,3
EDR 210,3
EDR 221,3
EDR 235,3
EDR 251,3
EDR 278,3
EDR 330,3
EDRE 101,3
EDRE 146,3
EDRE 201,3
EDRE 216,3
EDRE 231,3
EDRE 232,3
EDRE 246,3
EDRE 261,3
EDRE 275,3
EDRE 302,3
EDRE 316,3
EDRE 331,3
EDRE 361,3
EDRE 375,3
EDSC 101,3
EDSC 102,3
EDSC 103,3
EDSC 106,3
EDSC 113,3
EDSC 121,3
EDSC 123,3
EDSC 225,3
EDSC 244.1,3
EDSC 254,3
EDSC 264,3
EDSC 274,3
EDSC 283,3
EDSC 310,3
EDSC 313,3
EDSC 350,3
EDSP 101,3
EDSP 102,3
EDSP 103,3
EDSP 113,3
EDSP 116,3
EDSP 121,3
EDSP 128,3
EDSP 202,3
EDSP 207,3
EDSP 221,3
EDSP 236,3
EDSP 241,3
EDSP 326,3
EDSSE 105,3
EDSSE 120,3
EDSSE 161,3
EDSSE 233,3
EDSSE 242,3
EDTECH 101,3
EDTECH 210,3
EDTECH 211,3
EDTECH 213,3
EDTECH 214,3
EDTEG 201,3
EDTEG 211,3
EDTEG 221,3
EDTEG 277,3
EDUC 100,3
EDUC 102,8
EDUC 180,2
EDUC 181,3
EDUC 190,3
EDUC 280,3
EDUC 293,3
EDUC 300,3
EDUC 382,3
EDUC 390,6
EDUC 400,3
EE 121,3
EE 143,1
EE 146,3
EE 153,3
EE 161,3
EE 163,1
EE 164,3
EE 197,5
EE 198,3
EE 212,3
EE 214,3
EE 224,3
EE 227,3
EE 233,3
EE 240,3
EE 256,3
EE 258,3
EE 274,3
EE 277,3
EE 290,1
EE 296,3
EE 298,3
EE 299,6
EE 300,3
EE 374,3
EE 400,3
EEdu 121,4
EEE 1,3
EEE 3,3
EEE 4,3
EEE 5,1
EEE 44,3
EEE 51,1
EEE 52,3
EEE 53,1
EEE 54,1
EEE 100,3
EEE 101,0
EEE 105,3
EEE 107,3
EEE 121,3
EEE 123,1
EEE 128,3
EEE 141,3
EEE 143,3
EEE 145,3
EEE 147,1
EEE 148,3
EEE 155,2
EEE 190,1
EEE 192,3
EgyE 201,1
EgyE 205,3
EgyE 211,3
EgyE 225,3
EgyE 231,3
EgyE 236,3
EgyE 273,1
EgyE 296,3
EgyE 297,3
EgyE 300,3
EgyE 320,3
EgyE 400,3
EL 50,3
EL 170,3
EL 181,3
EL 200,3
EM 121,3
EM 122,5
EM 141,3
EM 146,3
EM 156,3
EM 157,3
EM 161,5
EM 162,3
EM 197,3
EnE 31,3
EnE 202,4
EnE 203,3
EnE 205,3
EnE 213,3
EnE 215,3
EnE 218,3
EnE 253,3
EnE 270,3
EnE 272,3
EnE 280,3
EnE 283,1
EnE 296,3
EnE 300,3
EnE 303,3
EnE 305,3
EnE 382,3
EnE 400,3
Eng 1,3
Eng 11,3
Eng 12,3
Eng 13,3
Eng 21,3
Eng 22,3
Eng 23,3
Eng 30,3
Eng 42,3
Eng 100,3
Eng 101,3
Eng 104,3
Eng 106,3
Eng 116,3
Eng 118,3
Eng 120,3
Eng 127,3
Eng 131,3
Eng 143,3
Eng 147,3
Eng 158,3
Eng 197,3
Eng 200,3
Eng 204,3
Eng 207,3
